#Encoding of BACnet Engineering Units;
#Code;Unit Text
57;CENTIMETERS-OF-WATER
58;INCHES-OF-WATER
59;MILLIMETERS-OF-MERCURY
60;CENTIMETERS-OF-MERCURY
61;INCHES-OF-MERCURY
62;DEGREES-CELSIUS
63;DEGREES-KELVIN
181;DEGREES-KELVIN-PER-HOUR
182;DEGREES-KELVIN-PER-MINUTE
64;DEGREES-FAHRENHEIT
65;DEGREE-DAYS-CELSIUS
66;DEGREE-DAYS-FAHRENHEIT
120;DELTA-DEGREES-FAHRENHEIT
121;DELTA-DEGREES-KELVIN
67;YEARS
68;MONTHS
69;WEEKS
70;DAYS
71;HOURS
72;MINUTES
73;SECONDS
158;HUNDREDTHS-SECONDS
159;MILLISECONDS
160;NEWTON-METERS
161;MILLIMETERS-PER-SECOND
162;MILLIMETERS-PER-MINUTE
74;METERS-PER-SECOND
163;METERS-PER-MINUTE
164;METERS-PER-HOUR
75;KILOMETERS-PER-HOUR
76;FEET-PER-SECOND
77;FEET-PER-MINUTE
78;MILES-PER-HOUR
79;CUBIC-FEET
80;CUBIC-METERS
81;IMPERIAL-GALLONS
197;MILLILITERS
82;LITERS
83;US-GALLONS
142;CUBIC-FEET-PER-SECOND
84;CUBIC-FEET-PER-MINUTE
254;MILLION-STANDARD-CUBIC-FEET-PER-MINUTE
191;CUBIC-FEET-PER-HOUR
248;CUBIC-FEET-PER-DAY
47808;STANDARD-CUBIC-FEET-PER-DAY
47809;MILLION-STANDARD-CUBIC-FEET-PER-DAY
47810;THOUSAND-CUBIC-FEET-PER-DAY
47811;THOUSAND-STANDARD-CUBIC-FEET-PER-DAY
47812;POUNDS-MASS-PER-DAY
85;CUBIC-METERS-PER-SECOND
165;CUBIC-METERS-PER-MINUTE
135;CUBIC-METERS-PER-HOUR
249;CUBIC-METERS-PER-DAY
86;IMPERIAL-GALLONS-PER-MINUTE
198;MILLILITERS-PER-SECOND
87;LITERS-PER-SECOND
88;LITERS-PER-MINUTE
136;LITERS-PER-HOUR
89;US-GALLONS-PER-MINUTE
192;US-GALLONS-PER-HOUR
90;DEGREES-ANGULAR
91;DEGREES-CELSIUS-PER-HOUR
92;DEGREES-CELSIUS-PER-MINUTE
93;DEGREES-FAHRENHEIT-PER-HOUR
94;DEGREES-FAHRENHEIT-PER-MINUTE
183;JOULE-SECONDS
186;KILOGRAMS-PER-CUBIC-METER
137;KILOWATT-HOURS-PER-SQUARE-METER
138;KILOWATT-HOURS-PER-SQUARE-FOOT
250;WATT-HOURS-PER-CUBIC-METER
251;JOULES-PER-CUBIC-METER
139;MEGAJOULES-PER-SQUARE-METER
140;MEGAJOULES-PER-SQUARE-FOOT
252;MOLE-PERCENT
95;NO-UNITS
187;NEWTON-SECONDS
188;NEWTONS-PER-METER
96;PARTS-PER-MILLION
97;PARTS-PER-BILLION
253;PASCAL-SECONDS
98;PERCENT
143;PERCENT-OBSCURATION-PER-FOOT
144;PERCENT-OBSCURATION-PER-METER
99;PERCENT-PER-SECOND
100;PER-MINUTE
101;PER-SECOND
102;PSI-PER-DEGREE-FAHRENHEIT
103;RADIANS
184;RADIANS-PER-SECOND
104;REVOLUTIONS-PER-MINUTE
185;SQUARE-METERS-PER-NEWTON
189;WATTS-PER-METER-PER-DEGREE-KELVIN
141;WATTS-PER-SQUARE-METER-DEGREE-KELVIN
207;PER-MILLE
208;GRAMS-PER-GRAM
209;KILOGRAMS-PER-KILOGRAM
210;GRAMS-PER-KILOGRAM
211;MILLIGRAMS-PER-GRAM
212;MILLIGRAMS-PER-KILOGRAM
213;GRAMS-PER-MILLILITER
214;GRAMS-PER-LITER
215;MILLIGRAMS-PER-LITER
216;MICROGRAMS-PER-LITER
217;GRAMS-PER-CUBIC-METER
218;MILLIGRAMS-PER-CUBIC-METER
219;MICROGRAMS-PER-CUBIC-METER
220;NANOGRAMS-PER-CUBIC-METER
221;GRAMS-PER-CUBIC-CENTIMETER
222;BECQUERELS
223;KILOBECQUERELS
224;MEGABECQUERELS
225;GRAY
226;MILLIGRAY
227;MICROGRAY
228;SIEVERTS
229;MILLISIEVERTS
230;MICROSIEVERTS
231;MICROSIEVERTS-PER-HOUR
47814;MILLIREMS
47815;MILLIREMS-PER-HOUR
232;DECIBELS-A
233;NEPHELOMETRIC-TURBIDITY-UNIT
234;PH
235;GRAMS-PER-SQUARE-METER
236;MINUTES-PER-DEGREE-KELVIN
